Avg5, Avg30, Avg100, Avg200
5388, 5337, 4791, 4714
5446, 5343, 4802, 4719
5504, 5348, 4813, 4724
5514, 5353, 4825, 4729
5543, 5365, 4838, 4735
5567, 5377, 4852, 4740
5592, 5385, 4865, 4746
5597, 5394, 4876, 4751
5603, 5398, 4886, 4755
5590, 5408, 4896, 4759
5601, 5421, 4907, 4763
5612, 5437, 4919, 4769
5647, 5453, 4932, 4774
5672, 5465, 4944, 4779
5693, 5473, 4956, 4784
5696, 5483, 4966, 4788
5704, 5492, 4978, 4793
5694, 5504, 4989, 4798
5690, 5515, 4999, 4803
5692, 5527, 5010, 4808
5686, 5535, 5021, 4813
5679, 5547, 5034, 4818
5689, 5563, 5050, 4823
5710, 5580, 5066, 4829
5727, 5596, 5082, 4834
5736, 5612, 5097, 4839
5735, 5628, 5112, 4844
5732, 5644, 5128, 4849
5718, 5651, 5143, 4854
5705, 5658, 5157, 4858
5699, 5664, 5172, 4863
5685, 5668, 5187, 4867
5662, 5670, 5200, 4872
5668, 5677, 5214, 4877
5679, 5681, 5228, 4882
5712, 5688, 5244, 4888
5755, 5695, 5259, 4894
5796, 5703, 5275, 4901
5830, 5715, 5292, 4907
5888, 5731, 5310, 4915
5918, 5741, 5327, 4922
5937, 5749, 5343, 4929
5982, 5759, 5360, 4937
6019, 5773, 5376, 4945
6028, 5786, 5392, 4952
6047, 5799, 5408, 4960
6067, 5809, 5424, 4968
6044, 5817, 5436, 4976
6020, 5827, 5449, 4984
6005, 5839, 5462, 4991
6016, 5855, 5476, 4998
6038, 5869, 5490, 5006
6076, 5882, 5503, 5013
6098, 5892, 5516, 5019
6128, 5905, 5528, 5026
6131, 5920, 5541, 5031
6132, 5935, 5553, 5037
6100, 5943, 5563, 5042
6098, 5955, 5573, 5047
6078, 5968, 5583, 5053
6057, 5980, 5593, 5058
6026, 5992, 5604, 5064
6045, 6007, 5616, 5069
6045, 6018, 5627, 5074
6031, 6026, 5638, 5078
6020, 6031, 5649, 5083
5991, 6032, 5659, 5088
5956, 6034, 5668, 5093
5917, 6033, 5675, 5099
5892, 6027, 5682, 5105
5872, 6024, 5689, 5111
5880, 6022, 5694, 5118
5864, 6014, 5699, 5124
5853, 6005, 5703, 5131
5866, 6000, 5710, 5137
5874, 5995, 5716, 5144
5875, 5990, 5721, 5150
5898, 5990, 5727, 5157
5918, 5988, 5732, 5164
5904, 5983, 5738, 5170
5893, 5974, 5744, 5177
5877, 5963, 5750, 5184
5868, 5955, 5756, 5192
5865, 5949, 5762, 5199
5889, 5943, 5767, 5206
5894, 5935, 5773, 5214
5878, 5921, 5775, 5220
5856, 5915, 5780, 5228
5839, 5906, 5784, 5235
5813, 5899, 5790, 5243
5801, 5892, 5794, 5251
5824, 5888, 5799, 5258
5840, 5880, 5805, 5265
5853, 5874, 5811, 5273
5853, 5869, 5817, 5279
5863, 5866, 5824, 5286
5871, 5867, 5830, 5293
5910, 5873, 5838, 5300
5965, 5882, 5845, 5308
6030, 5892, 5852, 5316
6087, 5902, 5858, 5325
6149, 5912, 5865, 5334
6191, 5927, 5872, 5343
6218, 5943, 5880, 5353
6236, 5954, 5886, 5362
6267, 5967, 5893, 5372
6284, 5980, 5900, 5382
6287, 5992, 5907, 5391
6306, 6008, 5915, 5400
6329, 6025, 5923, 5409
6330, 6040, 5930, 5419
6346, 6059, 5937, 5428
6355, 6073, 5942, 5437
6333, 6086, 5948, 5446
6307, 6095, 5954, 5455
6298, 6107, 5960, 5463
6294, 6128, 5966, 5472
6322, 6151, 5974, 5481
6366, 6173, 5982, 5490
6410, 6194, 5990, 5500
6441, 6214, 5998, 5509
6481, 6238, 6006, 5520
6501, 6261, 6014, 5532
6529, 6286, 6023, 5544
6561, 6312, 6032, 5557
6616, 6340, 6042, 5569
6642, 6366, 6052, 5582
6669, 6388, 6061, 5595
6674, 6404, 6071, 5607
6688, 6422, 6081, 5619
6692, 6441, 6091, 5632
6713, 6460, 6103, 5645
6766, 6483, 6116, 5658
6849, 6509, 6130, 5672
6914, 6535, 6142, 5685
6997, 6562, 6156, 5700
7052, 6588, 6168, 5714
7054, 6611, 6179, 5727
7053, 6634, 6191, 5741
7037, 6653, 6200, 5755
6991, 6672, 6209, 5768
6937, 6687, 6218, 5781
6854, 6694, 6223, 5791
6755, 6704, 6228, 5802
6682, 6715, 6233, 5812
6667, 6734, 6240, 5824
6671, 6749, 6248, 5836
6629, 6745, 6252, 5844
6529, 6731, 6253, 5851
6452, 6722, 6255, 5859
6310, 6712, 6255, 5866
6169, 6697, 6255, 5872
6193, 6694, 6258, 5880
6279, 6690, 6262, 5889
6339, 6685, 6265, 5897
6406, 6677, 6269, 5905
6480, 6670, 6272, 5913
6524, 6670, 6279, 5921
6559, 6671, 6285, 5929
6596, 6670, 6291, 5937
6638, 6668, 6298, 5946
6664, 6662, 6304, 5954
6686, 6657, 6311, 5963
6718, 6649, 6319, 5973
6769, 6646, 6328, 5983
6783, 6632, 6336, 5993
6824, 6624, 6346, 6002
6825, 6618, 6355, 6011
6829, 6611, 6364, 6020
6809, 6608, 6374, 6028
6803, 6601, 6382, 6036
6788, 6599, 6391, 6043
6770, 6604, 6400, 6049
6738, 6609, 6409, 6056
6694, 6610, 6416, 6063
6630, 6595, 6420, 6068
6484, 6568, 6421, 6071
6344, 6557, 6422, 6075
6234, 6559, 6424, 6078
6058, 6544, 6423, 6081
5948, 6535, 6423, 6084
5940, 6530, 6425, 6087
5887, 6506, 6423, 6090
5832, 6485, 6423, 6092
5875, 6467, 6423, 6095
5884, 6448, 6422, 6098
5837, 6423, 6422, 6099
5758, 6378, 6418, 6099
5691, 6340, 6415, 6100
5681, 6315, 6416, 6103
5640, 6281, 6414, 6104
5659, 6255, 6414, 6107
5762, 6224, 6414, 6110
5825, 6191, 6414, 6113
5845, 6160, 6416, 6116
5908, 6136, 6417, 6120
5949, 6109, 6418, 6124
5960, 6080, 6417, 6127
5973, 6049, 6414, 6130
5933, 6014, 6411, 6131
5849, 5977, 6405, 6132
5762, 5938, 6399, 6132
5754, 5911, 6395, 6134
5769, 5887, 6392, 6136
5803, 5866, 6389, 6138
5855, 5847, 6384, 6139
5877, 5837, 6378, 6139
5807, 5821, 6371, 6139
5731, 5804, 6363, 6139
5651, 5798, 6355, 6139
5605, 5790, 6348, 6139
5554, 5773, 6339, 6138
5554, 5766, 6331, 6137
5565, 5759, 6325, 6136
5596, 5751, 6320, 6137
5621, 5746, 6314, 6137
5652, 5742, 6307, 6136
5673, 5752, 6298, 6136
5691, 5759, 6291, 6137
5701, 5755, 6284, 6137
5685, 5754, 6276, 6137
5682, 5746, 6267, 6136
5686, 5739, 6258, 6136
5666, 5733, 6248, 6135
5640, 5721, 6238, 6135
5651, 5711, 6228, 6135
5673, 5700, 6218, 6135
5671, 5691, 6208, 6134
5663, 5681, 6197, 6134
5646, 5673, 6186, 6133
5606, 5670, 6174, 6133
5567, 5667, 6161, 6132
5494, 5648, 6144, 6130
5456, 5629, 6128, 6129
5405, 5606, 6111, 6127
5361, 5588, 6092, 6124
5313, 5573, 6074, 6121
5324, 5567, 6058, 6118
5312, 5559, 6041, 6116
5314, 5550, 6024, 6112
5328, 5542, 6009, 6109
5329, 5536, 5994, 6106
5315, 5527, 5981, 6102
5293, 5514, 5968, 6098
5314, 5503, 5956, 6094
5316, 5491, 5941, 6091
5336, 5483, 5927, 6087
5353, 5474, 5917, 6085
5367, 5460, 5910, 6081
5357, 5446, 5901, 6078
5354, 5436, 5894, 6074
5344, 5427, 5886, 6070
5339, 5416, 5874, 6066
5359, 5408, 5864, 6063
5395, 5405, 5854, 6060
5440, 5401, 5845, 6057
5495, 5397, 5836, 6054
5584, 5401, 5827, 6053
5662, 5408, 5819, 6052
5713, 5416, 5810, 6051
5749, 5425, 5801, 6049
5799, 5436, 5793, 6048
5810, 5454, 5783, 6047
5801, 5466, 5773, 6046
5800, 5482, 5761, 6045
5815, 5500, 5752, 6044
5810, 5519, 5742, 6044
5810, 5535, 5733, 6044
5826, 5551, 5723, 6044
5856, 5572, 5714, 6044
5875, 5592, 5706, 6044
5885, 5612, 5697, 6044
5890, 5631, 5689, 6044
5881, 5649, 5680, 6044
5863, 5664, 5672, 6044
5865, 5683, 5668, 6044
5877, 5702, 5667, 6044
5887, 5720, 5666, 6044
5905, 5739, 5663, 6044
5911, 5756, 5665, 6044
5893, 5773, 5665, 6044
5884, 5792, 5664, 6044
5890, 5812, 5666, 6045
5933, 5835, 5668, 6046
5984, 5854, 5670, 6046
6030, 5871, 5672, 6047
6079, 5889, 5676, 6049
6117, 5901, 5684, 6051
6119, 5911, 5690, 6053
6093, 5918, 5691, 6053
6074, 5925, 5694, 6054
6017, 5925, 5694, 6054
5953, 5924, 5694, 6054
5886, 5925, 5693, 6053
5855, 5927, 5691, 6053
5811, 5925, 5689, 6053
5797, 5923, 5686, 6052
5793, 5921, 5685, 6051
5769, 5915, 5683, 6049
5725, 5905, 5681, 6046
5716, 5898, 5682, 6044
5698, 5892, 5683, 6041
5662, 5883, 5681, 6038
5680, 5882, 5678, 6035
5723, 5882, 5677, 6033
5745, 5878, 5677, 6031
5790, 5877, 5679, 6029
5849, 5877, 5683, 6027
5887, 5879, 5686, 6025
5913, 5882, 5690, 6023
5920, 5882, 5693, 6020
5923, 5884, 5697, 6018
5929, 5884, 5701, 6016
5926, 5878, 5704, 6014
5942, 5875, 5707, 6014
5983, 5875, 5711, 6012
6007, 5872, 5715, 6011
5986, 5862, 5717, 6008
5969, 5853, 5718, 6005
5942, 5850, 5719, 6002
5901, 5846, 5722, 5999
5838, 5842, 5723, 5995
5833, 5842, 5724, 5991
5826, 5843, 5726, 5987
5799, 5841, 5727, 5983
5796, 5843, 5729, 5978
5824, 5847, 5731, 5974
5839, 5850, 5733, 5970
5855, 5857, 5736, 5967
5877, 5866, 5739, 5962
5882, 5871, 5743, 5958
5876, 5876, 5746, 5953
5874, 5885, 5752, 5948
5876, 5890, 5757, 5942
5903, 5896, 5764, 5937
5931, 5902, 5771, 5932
5965, 5906, 5779, 5926
5983, 5907, 5785, 5921
5999, 5908, 5791, 5916
6000, 5911, 5798, 5911
5997, 5915, 5805, 5907
5999, 5918, 5812, 5903
6010, 5921, 5819, 5900
6019, 5924, 5827, 5897
