[2022/01/04 10:00:44]========== Start ==========
[2022/01/04 10:00:44][I][main] Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
[2022/01/04 10:00:44][I][main] Automation_RSSI_WiFiSARQUERY.py 1.0.0.4
[2022/01/04 10:00:44][I][main] Decteing User: WillyWJ_Chen

[2022/01/04 10:00:44][I][setPath] ----- Setting Folder Path -----
[2022/01/04 10:00:45][E][setPath] Unexpected Error: 'Automation_RSSI_WiFiSARQUERY' object has no attribute 'mappingJsonPath'
[2022/01/04 10:00:45][I][start] ------ Begin Generating Sequence -----
[2022/01/04 10:00:46][E][main] Unexpected Error: 'Automation_RSSI_WiFiSARQUERY' object has no attribute 'inputFolder'
[2022/01/04 10:00:46]========== End ==========
[2022/01/04 10:04:45]========== Start ==========
[2022/01/04 10:04:45][I][main] Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 22:22:05) [MSC v.1916 64 bit (AMD64)]
[2022/01/04 10:04:45][I][main] Automation_RSSI_WiFiSARQUERY.py 1.0.0.4
[2022/01/04 10:04:45][I][main] Decteing User: WillyWJ_Chen

[2022/01/04 10:04:45][I][setPath] ----- Setting Folder Path -----
[2022/01/04 10:04:46][I][initPath] Delete Folder: ./input/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Create Folder: ./input/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Delete Folder: ./output/WillyWJ_Chen
[2022/01/04 10:04:46][I][initPath] Create Folder: ./output/WillyWJ_Chen
[2022/01/04 10:04:48][I][pullData] ----- Pulling Data ------
[2022/01/04 10:05:42][I][pullData] ----- Pulling Data Successfully -----
[2022/01/04 10:05:42][I][setPath] ----- Setting Folder Path Successfully -----
[2022/01/04 10:05:42][I][start] ------ Begin Generating Sequence -----
[2022/01/04 10:06:40][W][ParseLog] Cannot find MTKlog_7249146200044.LOG by SN: 7249146200044
[2022/01/04 10:06:40][W][ParseLog] Cannot find MTKlog_7249146200046.LOG by SN: 7249146200046
[2022/01/04 10:06:40][W][ParseLog] Cannot find MTKlog_7249146200047.LOG by SN: 7249146200047
[2022/01/04 10:06:41][W][ParseLog] Cannot find MTKlog_7249146200048.LOG by SN: 7249146200048
[2022/01/04 10:06:41][W][ParseLog] Cannot find MTKlog_7249146200049.LOG by SN: 7249146200049
[2022/01/04 10:06:42][W][ParseLog] Cannot find MTKlog_7249146200050.LOG by SN: 7249146200050
[2022/01/04 10:06:42][W][ParseLog] Cannot find MTKlog_7249146200053.LOG by SN: 7249146200053
[2022/01/04 10:06:42][W][ParseLog] Cannot find MTKlog_7249146200054.LOG by SN: 7249146200054
[2022/01/04 10:06:43][W][ParseLog] Cannot find MTKlog_7249146200055.LOG by SN: 7249146200055
[2022/01/04 10:06:43][W][ParseLog] Cannot find MTKlog_7249146200056.LOG by SN: 7249146200056
[2022/01/04 10:06:44][W][ParseLog] Cannot find MTKlog_7249146200058.LOG by SN: 7249146200058
[2022/01/04 10:06:44][W][ParseLog] Cannot find MTKlog_7249146200060.LOG by SN: 7249146200060
[2022/01/04 10:06:45][W][ParseLog] Cannot find MTKlog_7249146200061.LOG by SN: 7249146200061
[2022/01/04 10:06:45][W][ParseLog] Cannot find MTKlog_7249146200062.LOG by SN: 7249146200062
[2022/01/04 10:06:45][W][ParseLog] Cannot find MTKlog_7249146200063.LOG by SN: 7249146200063
[2022/01/04 10:06:46][W][ParseLog] Cannot find MTKlog_7249146200064.LOG by SN: 7249146200064
[2022/01/04 10:06:46][W][ParseLog] Cannot find MTKlog_7249146200066.LOG by SN: 7249146200066
[2022/01/04 10:06:47][W][ParseLog] Cannot find MTKlog_7249146200067.LOG by SN: 7249146200067
[2022/01/04 10:06:47][W][ParseLog] Cannot find MTKlog_7249146200068.LOG by SN: 7249146200068
[2022/01/04 10:06:47][W][ParseLog] Cannot find MTKlog_7249146200069.LOG by SN: 7249146200069
[2022/01/04 10:06:48][W][ParseLog] Cannot find MTKlog_7249146200070.LOG by SN: 7249146200070
[2022/01/04 10:06:48][W][ParseLog] Cannot find MTKlog_7249146200071.LOG by SN: 7249146200071
[2022/01/04 10:06:49][W][ParseLog] Cannot find MTKlog_7249146200072.LOG by SN: 7249146200072
[2022/01/04 10:06:49][W][ParseLog] Cannot find MTKlog_7249146200073.LOG by SN: 7249146200073
[2022/01/04 10:06:49][W][ParseLog] Cannot find MTKlog_7249146200074.LOG by SN: 7249146200074
[2022/01/04 10:06:50][W][ParseLog] Cannot find MTKlog_7249146200075.LOG by SN: 7249146200075
[2022/01/04 10:06:50][W][ParseLog] Cannot find MTKlog_7249146200077.LOG by SN: 7249146200077
[2022/01/04 10:06:51][W][ParseLog] Cannot find MTKlog_7249146300002.LOG by SN: 7249146300002
[2022/01/04 10:06:51][W][ParseLog] Cannot find MTKlog_7249146300005.LOG by SN: 7249146300005
[2022/01/04 10:06:51][W][ParseLog] Cannot find MTKlog_7249146300007.LOG by SN: 7249146300007
[2022/01/04 10:06:52][W][ParseLog] Cannot find MTKlog_7249146300012.LOG by SN: 7249146300012
[2022/01/04 10:06:52][W][ParseLog] Cannot find MTKlog_7249146300013.LOG by SN: 7249146300013
[2022/01/04 10:06:53][W][ParseLog] Cannot find MTKlog_7249146400003.LOG by SN: 7249146400003
[2022/01/04 10:06:53][W][ParseLog] Cannot find MTKlog_7249146400005.LOG by SN: 7249146400005
[2022/01/04 10:06:53][W][ParseLog] Cannot find MTKlog_7249146400006.LOG by SN: 7249146400006
[2022/01/04 10:06:54][W][ParseLog] Cannot find MTKlog_7249146400007.LOG by SN: 7249146400007
[2022/01/04 10:06:54][W][ParseLog] Cannot find MTKlog_7249146400009.LOG by SN: 7249146400009
[2022/01/04 10:06:55][W][ParseLog] Cannot find MTKlog_7249146400010.LOG by SN: 7249146400010
[2022/01/04 10:06:55][W][ParseLog] Cannot find MTKlog_7249146400011.LOG by SN: 7249146400011
[2022/01/04 10:06:56][W][ParseLog] Cannot find MTKlog_7249146400013.LOG by SN: 7249146400013
[2022/01/04 10:06:56][W][ParseLog] Cannot find ITPM_RSSITest_A32.LOG by SN: 7249146400015
[2022/01/04 10:06:56][W][ParseLog] Cannot find MTKlog_7249146400015.LOG by SN: 7249146400015
[2022/01/04 10:06:57][W][ParseLog] Cannot find SAR.TXT and SarLog_DynAnt.txt by SN: 7249146400015
[2022/01/04 10:06:57][W][ParseLog] Cannot find MTKlog_7249146400016.LOG by SN: 7249146400016
[2022/01/04 10:06:58][W][ParseLog] Cannot find MTKlog_7249146400018.LOG by SN: 7249146400018
[2022/01/04 10:06:58][W][ParseLog] Cannot find MTKlog_7249146400019.LOG by SN: 7249146400019
[2022/01/04 10:06:58][W][ParseLog] Cannot find MTKlog_7249146400020.LOG by SN: 7249146400020
[2022/01/04 10:06:59][W][ParseLog] Cannot find MTKlog_7249146400021.LOG by SN: 7249146400021
[2022/01/04 10:06:59][W][ParseLog] Cannot find MTKlog_7249146400022.LOG by SN: 7249146400022
[2022/01/04 10:07:00][W][ParseLog] Cannot find MTKlog_7249146400023.LOG by SN: 7249146400023
[2022/01/04 10:07:00][W][ParseLog] Cannot find MTKlog_7249146400024.LOG by SN: 7249146400024
[2022/01/04 10:07:00][W][ParseLog] Cannot find MTKlog_7249146400025.LOG by SN: 7249146400025
[2022/01/04 10:07:01][W][ParseLog] Cannot find MTKlog_7249146400026.LOG by SN: 7249146400026
[2022/01/04 10:07:01][W][ParseLog] Cannot find MTKlog_7249146400028.LOG by SN: 7249146400028
